provincia,año,precio,ranking
BUENOS AIRES,2017,17.08306329113924,12.0
BUENOS AIRES,2018,29.63595744680851,8.0
BUENOS AIRES,2019,43.69191489361702,12.0
BUENOS AIRES,2020,56.65387096774194,7.0
BUENOS AIRES,2021,86.66465040650407,9.0
BUENOS AIRES,2022,144.15481927710843,6.0
BUENOS AIRES,2023,361.1808823529412,4.0
BUENOS AIRES,2024,1169.5851730784057,12.0
CAPITAL FEDERAL,2017,13.8918,13.0
CAPITAL FEDERAL,2018,23.506666666666664,11.0
CAPITAL FEDERAL,2019,28.345,18.0
CAPITAL FEDERAL,2022,97.05,15.0
CAPITAL FEDERAL,2023,259.675,12.0
CAPITAL FEDERAL,2024,1122.7930289672545,18.0
CATAMARCA,2018,15.98,15.0
CATAMARCA,2023,249.9,13.0
CATAMARCA,2024,1188.5179856115108,8.0
CHACO,2017,22.45,2.0
CHACO,2018,29.6,9.0
CHACO,2019,48.7,5.0
CHACO,2020,56.31,8.0
CHACO,2021,111.8,1.0
CHACO,2022,285.0,1.0
CHACO,2023,338.2416666666667,5.0
CHACO,2024,1289.7912457912457,3.0
CHUBUT,2018,32.97857142857143,5.0
CHUBUT,2019,46.275,7.0
CHUBUT,2020,60.0325,5.0
CHUBUT,2023,326.7,9.0
CHUBUT,2024,1115.9555555555555,19.0
CORDOBA,2017,18.31558823529412,11.0
CORDOBA,2018,31.111904761904764,6.0
CORDOBA,2019,44.47125,10.0
CORDOBA,2020,54.876666666666665,9.0
CORDOBA,2021,93.7995,6.0
CORDOBA,2022,125.95685714285713,10.0
CORDOBA,2023,338.2054700854701,6.0
CORDOBA,2024,1186.765174249758,9.0
CORRIENTES,2020,63.84,2.0
CORRIENTES,2023,404.26666666666665,1.0
CORRIENTES,2024,1289.0254957507082,4.0
ENTRE RIOS,2017,20.549999999999997,6.0
ENTRE RIOS,2018,50.0,1.0
ENTRE RIOS,2019,29.99,16.0
ENTRE RIOS,2020,59.78,6.0
ENTRE RIOS,2021,102.60000000000001,2.0
ENTRE RIOS,2022,167.87,3.0
ENTRE RIOS,2023,193.6,19.0
ENTRE RIOS,2024,1230.5189909443727,5.0
FORMOSA,2017,21.822499999999998,4.0
FORMOSA,2018,44.375,2.0
FORMOSA,2021,99.16000000000001,4.0
FORMOSA,2022,118.825,12.0
FORMOSA,2024,1307.0535714285713,2.0
JUJUY,2017,13.20625,16.0
JUJUY,2018,26.9175,10.0
JUJUY,2019,53.1275,2.0
JUJUY,2021,85.62,11.0
JUJUY,2022,69.79,18.0
JUJUY,2023,327.54249999999996,8.0
JUJUY,2024,1186.4260355029585,10.0
LA PAMPA,2017,19.453333333333333,9.0
LA PAMPA,2018,37.68,4.0
LA PAMPA,2019,39.635,13.0
LA PAMPA,2022,123.05,11.0
LA PAMPA,2023,205.8,17.0
LA PAMPA,2024,1109.3066773162939,20.0
LA RIOJA,2017,21.5,5.0
LA RIOJA,2019,47.78,6.0
LA RIOJA,2022,135.8151612903226,8.0
LA RIOJA,2023,379.375,2.0
LA RIOJA,2024,1222.1041666666667,6.0
MENDOZA,2017,13.381666666666668,15.0
MENDOZA,2018,22.47,12.0
MENDOZA,2019,32.00545454545455,15.0
MENDOZA,2020,47.105000000000004,11.0
MENDOZA,2021,91.475,7.0
MENDOZA,2022,127.17235294117646,9.0
MENDOZA,2023,333.5647058823529,7.0
MENDOZA,2024,1097.9108785942492,22.0
MISIONES,2017,22.049999999999997,3.0
MISIONES,2019,39.19,14.0
MISIONES,2020,63.18666666666667,4.0
MISIONES,2021,95.0,5.0
MISIONES,2023,303.25,11.0
MISIONES,2024,1312.7889182058047,1.0
NEUQUEN,2017,9.493500000000001,20.0
NEUQUEN,2018,14.9,17.0
NEUQUEN,2019,23.5,19.0
NEUQUEN,2021,30.9,13.0
NEUQUEN,2022,115.75714285714285,13.0
NEUQUEN,2024,1143.537657992565,16.0
RIO NEGRO,2017,12.0,17.0
RIO NEGRO,2019,52.79,3.0
RIO NEGRO,2022,139.52857142857144,7.0
RIO NEGRO,2023,203.98,18.0
RIO NEGRO,2024,1090.6489847715736,23.0
SALTA,2017,19.582222222222224,8.0
SALTA,2018,15.89,16.0
SALTA,2021,49.0,12.0
SALTA,2023,219.23636363636362,15.0
SALTA,2024,1146.8952054794522,15.0
SAN JUAN,2017,9.945,19.0
SAN JUAN,2018,18.0,14.0
SAN JUAN,2019,45.855000000000004,8.0
SAN JUAN,2021,85.652,10.0
SAN JUAN,2022,83.9,16.0
SAN JUAN,2023,145.7,20.0
SAN JUAN,2024,1168.0377358490566,13.0
SAN LUIS,2017,23.810000000000002,1.0
SAN LUIS,2019,29.51,17.0
SAN LUIS,2020,47.82,10.0
SAN LUIS,2022,112.25,14.0
SAN LUIS,2023,209.4,16.0
SAN LUIS,2024,1176.0290598290599,11.0
SANTA CRUZ,2017,18.726425,10.0
SANTA CRUZ,2019,44.292500000000004,11.0
SANTA CRUZ,2024,1103.5944055944055,21.0
SANTA FE,2017,19.804732142857144,7.0
SANTA FE,2018,30.16590909090909,7.0
SANTA FE,2019,50.47932608695652,4.0
SANTA FE,2020,63.60454545454545,3.0
SANTA FE,2021,99.45133333333334,3.0
SANTA FE,2022,155.30875,4.0
SANTA FE,2023,316.3318918918919,10.0
SANTA FE,2024,1215.2453684210527,7.0
SANTIAGO DEL ESTERO,2018,43.72666666666667,3.0
SANTIAGO DEL ESTERO,2019,61.845,1.0
SANTIAGO DEL ESTERO,2020,64.125,1.0
SANTIAGO DEL ESTERO,2021,49.0,12.0
SANTIAGO DEL ESTERO,2022,191.775,2.0
SANTIAGO DEL ESTERO,2023,376.6363636363636,3.0
SANTIAGO DEL ESTERO,2024,1167.9109467455621,14.0
TIERRA DEL FUEGO,2017,13.71,14.0
TIERRA DEL FUEGO,2022,70.1,17.0
TIERRA DEL FUEGO,2024,1002.6666666666666,24.0
TUCUMAN,2017,10.89,18.0
TUCUMAN,2018,19.46,13.0
TUCUMAN,2019,45.001666666666665,9.0
TUCUMAN,2020,22.99,12.0
TUCUMAN,2021,88.77499999999999,8.0
TUCUMAN,2022,148.8941176470588,5.0
TUCUMAN,2023,224.37692307692308,14.0
TUCUMAN,2024,1142.6072649572648,17.0
